specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2028.000_14476/od3g01020/od3g01020_continuumfit.fits|1142.36560|0.00029008|14.2098|11.1220|0.0000|2|2|2|-21.7246|21.7246|1142.61418|1142.77979|0.00029008|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2028.000_14476/od3g01020/od3g01020_continuumfit.fits|1143.22600|0.00029008|14.2098|11.1220|0.0000|2|2|2|-21.7246|21.7246|1143.47477|1143.64050|0.00029008|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2028.000_14476/od3g01020/od3g01020_continuumfit.fits|1144.93790|0.00029008|14.2098|11.1220|0.0000|2|2|2|-21.7246|21.7246|1145.18704|1145.35302|0.00029008|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2028.000_14476/od3g01020/od3g01020_continuumfit.fits|1260.53300|0.00029008|14.2098|11.1220|0.0000|2|2|2|-21.7246|21.7246|1260.80729|1260.99004|0.00029008|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2028.000_14476/od3g01020/od3g01020_continuumfit.fits|1608.45110|0.00029008|14.2098|11.1220|0.0000|2|2|2|-21.7246|21.7246|1608.80110|1609.03428|0.00029008|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2028.000_14476/od3g01020/od3g01020_continuumfit.fits|1611.20050|0.00029008|14.2098|11.1220|0.0000|2|2|2|-21.7246|21.7246|1611.55110|1611.78468|0.00029008|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2028.000_14476/od3g01020/od3g01020_continuumfit.fits|1142.36560|0.00050748|14.9409|20.7085|0.0000|3|3|3|-43.4492|43.4492|1142.77969|1143.11099|0.00050748|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2028.000_14476/od3g01020/od3g01020_continuumfit.fits|1143.22600|0.00050748|14.9409|20.7085|0.0000|3|3|3|-43.4492|43.4492|1143.64040|1143.97195|0.00050748|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2028.000_14476/od3g01020/od3g01020_continuumfit.fits|1144.93790|0.00050748|14.9409|20.7085|0.0000|3|3|3|-43.4492|43.4492|1145.35293|1145.68497|0.00050748|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2028.000_14476/od3g01020/od3g01020_continuumfit.fits|1260.53300|0.00050748|14.9409|20.7085|0.0000|3|3|3|-43.4492|43.4492|1260.98993|1261.35549|0.00050748|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2028.000_14476/od3g01020/od3g01020_continuumfit.fits|1608.45110|0.00050748|14.9409|20.7085|0.0000|3|3|3|-43.4492|43.4492|1609.03414|1609.50061|0.00050748|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2028.000_14476/od3g01020/od3g01020_continuumfit.fits|1611.20050|0.00050748|14.9409|20.7085|0.0000|3|3|3|-43.4492|43.4492|1611.78454|1612.25180|0.00050748|FeII|none|
