specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2608.000_13373/ocax01010/ocax01010_continuumfit.fits|1239.9253|0.00046|15.582|0.033|15.0|1.587|-8.486|1.046|2|2|2|-30.0802|30.0802|1240.374838951037|1240.6236590931974|10567|10585|0.00043|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2608.000_13373/ocax01010/ocax01010_continuumfit.fits|1240.3947|0.00046|15.582|0.0|15.0|0.0|-8.486|0.0|2|2|2|-30.0802|30.0802|1240.8444091335339|1241.0933234718325|10602|10621|0.00043|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2608.000_13373/ocax01010/ocax01010_continuumfit.fits|1250.578|2e-05|15.394|0.017|9.871|0.206|0.599|0.134|2|2|2|-25.0668|25.0668|1250.5015973819889|1250.7107286511311|11561|11577|2e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2608.000_13373/ocax01010/ocax01010_continuumfit.fits|1253.805|2e-05|15.394|0.0|9.871|0.0|0.599|0.0|2|2|2|-25.0668|25.0668|1253.7284002321524|1253.9380711450476|11802|11818|2e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2608.000_13373/ocax01010/ocax01010_continuumfit.fits|1250.578|0.00049|15.484|0.007|20.65|0.263|-6.888|0.193|2|2|2|-28.4091|28.4091|1251.0732256898107|1251.310241628749|11604|11621|0.00047|S II|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2608.000_13373/ocax01010/ocax01010_continuumfit.fits|1253.805|0.00049|15.484|0.0|20.65|0.0|-6.888|0.0|2|2|2|-28.4091|28.4091|1254.3015035735582|1254.5391311100418|11845|11863|0.00047|S II|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2608.000_13373/ocax01010/ocax01010_continuumfit.fits|1239.9253|0.00046|15.582|0.033|15.0|1.587|-3.599|1.046|2|2|2|-28.4091|28.4091|1240.3748317465688|1240.6098287313175|10567|10584|0.00045|MgII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2608.000_13373/ocax01010/ocax01010_continuumfit.fits|1240.3947|0.00046|15.582|0.0|15.0|0.0|-3.599|0.0|2|2|2|-28.4091|28.4091|1240.8444019263384|1241.0794878741758|10602|10620|0.00045|MgII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2608.000_13373/ocax01010/ocax01010_continuumfit.fits|1152.818|0.00046|13.539|0.091|22.36|5.71|-2.321|3.984|2|2|2|-28.4091|28.4091|1153.2359512177193|1153.4544391814409|1363|1381|0.00045|P II|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2608.000_13373/ocax01010/ocax01010_continuumfit.fits|1317.217|0.00049|13.488|0.025|19.47|1.462|3.084|0.997|2|2|2|-30.0802|30.0802|1317.7239220752347|1317.9882526128856|17717|17736|0.0005|NiII|none|--|./modified_component_groups/input_group_5.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2608.000_13373/ocax01010/ocax01010_continuumfit.fits|1370.132|0.00049|13.488|0.0|19.47|0.0|3.084|0.0|2|2|2|-30.0802|30.0802|1370.659286055969|1370.9342352315512|22092|22110|0.0005|NiII|none|--|./modified_component_groups/input_group_5.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2608.000_13373/ocax01010/ocax01010_continuumfit.fits|1454.842|0.00049|13.488|0.0|19.47|0.0|3.084|0.0|2|2|2|-30.0802|30.0802|1455.4018861279337|1455.6938343551867|28497|28516|0.0005|NiII|none|--|./modified_component_groups/input_group_5.VP
