specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2627.000_11623/ob2na1020/ob2na1020_continuumfit.fits|1358.773|0.00084|12.922|0.027|15.0|1.277|-1.252|0.854|2|2|2|-33.4225|33.4225|1359.765521907063|1360.0684887721766|21190|21211|0.00084|CuII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2627.000_11623/ob2na1020/ob2na1020_continuumfit.fits|1250.578|3e-05|15.433|0.019|9.613|0.203|-1.583|0.13|2|2|2|-28.4091|28.4091|1250.5015989917908|1250.7386149307292|11566|11584|3e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2627.000_11623/ob2na1020/ob2na1020_continuumfit.fits|1253.805|3e-05|15.433|0.0|9.613|0.0|-1.583|0.0|2|2|2|-28.4091|28.4091|1253.7284018461082|1253.966029382592|11807|11825|3e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2627.000_11623/ob2na1020/ob2na1020_continuumfit.fits|1250.578|0.00049|15.478|0.007|20.93|0.259|-4.689|0.188|2|2|2|-31.7513|31.7513|1251.0592837720603|1251.3241835464996|11608|11628|0.00048|S II|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2627.000_11623/ob2na1020/ob2na1020_continuumfit.fits|1253.805|0.00049|15.478|0.0|20.93|0.0|-4.689|0.0|2|2|2|-31.7513|31.7513|1254.287525679988|1254.5531090036118|11849|11869|0.00048|S II|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2627.000_11623/ob2na1020/ob2na1020_continuumfit.fits|1239.9253|0.00047|15.594|0.031|16.45|1.473|-9.355|1.008|2|2|2|-20.0535|20.0535|1240.4301340039606|1240.5960143744637|10576|10588|0.00044|MgII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2627.000_11623/ob2na1020/ob2na1020_continuumfit.fits|1240.3947|0.00047|15.594|0.0|16.45|0.0|-9.355|0.0|2|2|2|-20.0535|20.0535|1240.8997251195717|1241.0656682876047|10611|10624|0.00044|MgII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2627.000_11623/ob2na1020/ob2na1020_continuumfit.fits|1317.217|0.00051|13.502|0.023|19.9|1.37|-5.541|0.927|2|2|2|-38.4358|38.4358|1317.7239335593408|1318.0616891486995|17722|17746|0.00049|NiII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2627.000_11623/ob2na1020/ob2na1020_continuumfit.fits|1370.132|0.00051|13.502|0.0|19.9|0.0|-5.541|0.0|2|2|2|-38.4358|38.4358|1370.6592980014125|1371.0106218464277|22097|22121|0.00049|NiII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2627.000_11623/ob2na1020/ob2na1020_continuumfit.fits|1454.842|0.00051|13.502|0.0|19.9|0.0|-5.541|0.0|2|2|2|-38.4358|38.4358|1455.401898811918|1455.7749436611223|28502|28526|0.00049|NiII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2627.000_11623/ob2na1020/ob2na1020_continuumfit.fits|1317.217|0.00049|13.445|0.023|15.0|1.116|1.848|0.737|2|2|2|-35.0936|35.0936|1317.7092444548316|1318.0176303750086|17721|17743|0.0005|NiII|none|--|./modified_component_groups/input_group_5.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2627.000_11623/ob2na1020/ob2na1020_continuumfit.fits|1370.132|0.00049|13.445|0.0|15.0|0.0|1.848|0.0|2|2|2|-35.0936|35.0936|1370.6440188088882|1370.9647931517518|22096|22118|0.0005|NiII|none|--|./modified_component_groups/input_group_5.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2627.000_11623/ob2na1020/ob2na1020_continuumfit.fits|1454.842|0.00049|13.445|0.0|15.0|0.0|1.848|0.0|2|2|2|-35.0936|35.0936|1455.385674965595|1455.7262815542451|28501|28523|0.0005|NiII|none|--|./modified_component_groups/input_group_5.VP
