specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2776.000_9094/o6cd01010/o6cd01010_continuumfit.fits|1239.9253|0.00048|15.81|0.022|18.96|1.248|-8.362|0.853|2|2|2|-28.4091|28.4091|1240.4024820807588|1240.6374790655075|10565|10583|0.00045|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2776.000_9094/o6cd01010/o6cd01010_continuumfit.fits|1240.3947|0.00048|15.81|0.0|18.96|0.0|-8.362|0.0|2|2|2|-28.4091|28.4091|1240.8720627281482|1241.1071486759859|10600|10618|0.00045|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2776.000_9094/o6cd01010/o6cd01010_continuumfit.fits|1250.578|5e-05|15.4|0.019|8.985|0.195|-3.894|0.121|2|2|2|-30.0802|30.0802|1250.5155376970754|1250.7664955537646|11559|11577|4e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2776.000_9094/o6cd01010/o6cd01010_continuumfit.fits|1253.805|5e-05|15.4|0.0|8.985|0.0|-3.894|0.0|2|2|2|-30.0802|30.0802|1253.742376518923|1253.993981948977|11799|11818|4e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2776.000_9094/o6cd01010/o6cd01010_continuumfit.fits|1250.578|0.00048|15.454|0.007|21.66|0.263|-1.077|0.191|2|2|2|-45.1203|45.1203|1250.989571322063|1251.3660081070968|11594|11622|0.00048|S II|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2776.000_9094/o6cd01010/o6cd01010_continuumfit.fits|1253.805|0.00048|15.454|0.0|21.66|0.0|-1.077|0.0|2|2|2|-45.1203|45.1203|1254.2176333435095|1254.5950414885906|11835|11863|0.00048|S II|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2776.000_9094/o6cd01010/o6cd01010_continuumfit.fits|1239.9253|0.00045|15.797|0.022|17.74|1.19|1.382|0.808|2|2|2|-28.4091|28.4091|1240.361006579474|1240.5960035642224|10562|10580|0.00045|MgII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2776.000_9094/o6cd01010/o6cd01010_continuumfit.fits|1240.3947|0.00045|15.797|0.0|17.74|0.0|1.382|0.0|2|2|2|-28.4091|28.4091|1240.8305715254335|1241.065657473271|10597|10615|0.00045|MgII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2776.000_9094/o6cd01010/o6cd01010_continuumfit.fits|1152.818|0.00044|13.497|0.082|12.806|2.903|-2.668|1.981|2|2|2|-20.0535|20.0535|1153.2488066157994|1153.4030335494404|1361|1373|0.00043|P II|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2776.000_9094/o6cd01010/o6cd01010_continuumfit.fits|1317.217|0.00051|13.526|0.022|21.76|1.393|-7.685|0.958|2|2|2|-45.1203|45.1203|1317.694563450782|1318.0910592572584|17711|17739|0.00049|NiII|none|--|./modified_component_groups/input_group_5.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2776.000_9094/o6cd01010/o6cd01010_continuumfit.fits|1370.132|0.00051|13.526|0.0|21.76|0.0|-7.685|0.0|2|2|2|-45.1203|45.1203|1370.6287480422336|1371.0411718056068|22086|22114|0.00049|NiII|none|--|./modified_component_groups/input_group_5.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2776.000_9094/o6cd01010/o6cd01010_continuumfit.fits|1454.842|0.00051|13.526|0.0|21.76|0.0|-7.685|0.0|2|2|2|-45.1203|45.1203|1455.3694600660806|1455.8073824069597|28491|28519|0.00049|NiII|none|--|./modified_component_groups/input_group_5.VP
