specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2837.000_14476/od3g01010/od3g01010_continuumfit.fits|1317.217|0.00051|13.559|0.016|15.0|0.757|-7.79|0.508|2|2|2|-36.7647|36.7647|1317.723925905776|1318.046996660544|17723|17746|0.00048|NiII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2837.000_14476/od3g01010/od3g01010_continuumfit.fits|1370.132|0.00051|13.559|0.0|15.0|0.0|-7.79|0.0|2|2|2|-36.7647|36.7647|1370.6592900403903|1370.99533913433|22098|22121|0.00048|NiII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2837.000_14476/od3g01010/od3g01010_continuumfit.fits|1454.842|0.00051|13.559|0.0|15.0|0.0|-7.79|0.0|2|2|2|-36.7647|36.7647|1455.4018903586966|1455.7587160776236|28503|28526|0.00048|NiII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2837.000_14476/od3g01010/od3g01010_continuumfit.fits|1250.578|2e-05|15.422|0.017|9.54|0.191|2.392|0.125|2|2|2|-25.0668|25.0668|1250.5015973819889|1250.7107286511311|11567|11583|3e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2837.000_14476/od3g01010/od3g01010_continuumfit.fits|1253.805|2e-05|15.422|0.0|9.54|0.0|2.392|0.0|2|2|2|-25.0668|25.0668|1253.7284002321524|1253.9380711450476|11808|11824|3e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2837.000_14476/od3g01010/od3g01010_continuumfit.fits|1250.578|0.00049|15.512|0.007|19.83|0.222|-1.579|0.159|2|2|2|-36.7647|36.7647|1251.031392253047|1251.3381186150332|11607|11630|0.00048|S II|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2837.000_14476/od3g01010/od3g01010_continuumfit.fits|1253.805|0.00049|15.512|0.0|19.83|0.0|-1.579|0.0|2|2|2|-36.7647|36.7647|1254.2595621895089|1254.5670800302914|11848|11871|0.00048|S II|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2837.000_14476/od3g01010/od3g01010_continuumfit.fits|1250.578|2e-05|15.422|0.017|9.54|0.191|2.392|0.125|2|2|2|-25.0668|25.0668|1250.5015973819889|1250.7107286511311|11567|11583|3e-05|S II|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2837.000_14476/od3g01010/od3g01010_continuumfit.fits|1253.805|2e-05|15.422|0.0|9.54|0.0|2.392|0.0|2|2|2|-25.0668|25.0668|1253.7284002321524|1253.9380711450476|11808|11824|3e-05|S II|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2837.000_14476/od3g01010/od3g01010_continuumfit.fits|1250.578|0.0005|15.498|0.006|20.94|0.231|-5.063|0.168|2|2|2|-33.4225|33.4225|1251.0592781154974|1251.3381206419826|11609|11630|0.00048|S II|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2837.000_14476/od3g01010/od3g01010_continuumfit.fits|1253.805|0.0005|15.498|0.0|20.94|0.0|-5.063|0.0|2|2|2|-33.4225|33.4225|1254.287520008829|1254.5670820624712|11850|11871|0.00048|S II|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2837.000_14476/od3g01010/od3g01010_continuumfit.fits|1317.217|0.00049|13.559|0.016|15.0|0.757|-1.108|0.508|2|2|2|-33.4225|33.4225|1317.7092368012675|1318.002937886853|17722|17743|0.00048|NiII|none|--|./modified_component_groups/input_group_5.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2837.000_14476/od3g01010/od3g01010_continuumfit.fits|1370.132|0.00049|13.559|0.0|15.0|0.0|-1.108|0.0|2|2|2|-33.4225|33.4225|1370.6440108478664|1370.9495104396537|22097|22117|0.00048|NiII|none|--|./modified_component_groups/input_group_5.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_2837.000_14476/od3g01010/od3g01010_continuumfit.fits|1454.842|0.00049|13.559|0.0|15.0|0.0|-1.108|0.0|2|2|2|-33.4225|33.4225|1455.385666512374|1455.7100539707465|28502|28523|0.00048|NiII|none|--|./modified_component_groups/input_group_5.VP
