specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_3236.000_7480/o55q02070/o55q02070_continuumfit.fits|1239.9253|0.00046|15.754|0.025|19.74|1.477|-4.763|1.001|2|2|2|-30.0802|30.0802|1240.374838951037|1240.6236590931974|10565|10583|0.00045|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_3236.000_7480/o55q02070/o55q02070_continuumfit.fits|1240.3947|0.00046|15.754|0.0|19.74|0.0|-4.763|0.0|2|2|2|-30.0802|30.0802|1240.8444091335339|1241.0933234718325|10600|10619|0.00045|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_3236.000_7480/o55q02070/o55q02070_continuumfit.fits|1250.578|3e-05|15.43|0.016|9.393|0.17|-0.253|0.107|2|2|2|-25.0668|25.0668|1250.5155413266891|1250.7246725958312|11560|11576|3e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_3236.000_7480/o55q02070/o55q02070_continuumfit.fits|1253.805|3e-05|15.43|0.0|9.393|0.0|-0.253|0.0|2|2|2|-25.0668|25.0668|1253.7423801579025|1253.952051070798|11801|11817|3e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_3236.000_7480/o55q02070/o55q02070_continuumfit.fits|1250.578|0.0005|15.476|0.006|21.07|0.213|-3.931|0.153|2|2|2|-30.0802|30.0802|1251.0732204503954|1251.3241783070846|11602|11621|0.00048|S II|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_3236.000_7480/o55q02070/o55q02070_continuumfit.fits|1253.805|0.0005|15.476|0.0|21.07|0.0|-3.931|0.0|2|2|2|-30.0802|30.0802|1254.301498320623|1254.553103750677|11843|11862|0.00048|S II|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_3236.000_7480/o55q02070/o55q02070_continuumfit.fits|1239.9253|0.00046|15.755|0.025|19.8|1.48|0.135|1.004|2|2|2|-31.7513|31.7513|1240.3610085891573|1240.623651888729|10564|10583|0.00046|MgII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_3236.000_7480/o55q02070/o55q02070_continuumfit.fits|1240.3947|0.00046|15.755|0.0|19.8|0.0|0.135|0.0|2|2|2|-31.7513|31.7513|1240.8305735358776|1241.0933162646365|10599|10619|0.00046|MgII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_3236.000_7480/o55q02070/o55q02070_continuumfit.fits|1152.818|0.00048|13.42|0.079|18.56|4.249|-12.244|2.891|2|2|2|-31.7513|31.7513|1153.2488070069182|1153.4929990750416|1362|1382|0.00044|P II|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_3236.000_7480/o55q02070/o55q02070_continuumfit.fits|1317.217|0.00047|13.537|0.021|23.98|1.461|0.266|1.008|2|2|2|-36.7647|36.7647|1317.6798781692962|1318.0029489240642|17712|17735|0.00047|NiII|none|--|./modified_component_groups/input_group_5.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_3236.000_7480/o55q02070/o55q02070_continuumfit.fits|1370.132|0.00047|13.537|0.0|23.98|0.0|0.266|0.0|2|2|2|-36.7647|36.7647|1370.6134728263105|1370.94952192025|22087|22110|0.00047|NiII|none|--|./modified_component_groups/input_group_5.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/HD 5980/E140M_1425_0.2x0.2_3236.000_7480/o55q02070/o55q02070_continuumfit.fits|1454.842|0.00047|13.537|0.0|23.98|0.0|0.266|0.0|2|2|2|-36.7647|36.7647|1455.3532404422167|1455.7100661611437|28492|28515|0.00047|NiII|none|--|./modified_component_groups/input_group_5.VP
