wave,flux,err,best_fit_spec
1606.8917850693558,-5.078229,0.08967455,2.176614970648947
1606.9182719120922,-26.251497,5.0230994,2.174934367069648
1606.9447585845326,-3.692189,2.3340654,2.173791609860867
1606.9712450866798,1.0361962,2.4820323,2.1732405207596273
1606.9977314185383,2.9220138,3.010128,2.173370827316372
1607.0242175801097,1.8906598,3.8539202,2.1740376201378027
1607.050703571399,0.19977203,2.784406,2.1749108395548475
1607.0771893924082,2.3185065,3.8063884,2.175581340180127
1607.1036750431408,-4.327654,3.6905506,2.1758060686905836
1607.130160523601,1.3958646,3.5840347,2.1756698696897487
1607.156645833791,-0.10101144,3.0283825,2.175370516933782
1607.1831309737145,1.6121975,3.2208807,2.1750239087822205
1607.2096159433747,0.0335753,3.0514777,2.1745655827344024
1607.236100742775,3.0871756,2.8400834,2.173946845040014
1607.2625853719187,6.893039,3.1316779,2.1732699788874843
1607.2890698308092,0.45768258,2.7010498,2.17275971965811
1607.3155541194492,-0.8614963,2.900945,2.1726159435342165
1607.3420382378426,0.073320046,2.7051878,2.172938981643494
1607.3685221859926,0.005232849,3.0496168,2.1737299018087857
1607.3950059639021,0.7024381,2.4842718,2.174964703497439
1607.4214895715747,1.5885404,2.7619724,2.1765084474918517
1607.4479730090138,2.9547813,3.3951993,2.1780782682439117
1607.4744562762226,2.4953501,2.8312995,2.179268316819007
1607.5009393732041,-0.83295786,2.425978,2.179794596044463
1607.5274222999617,-1.0853072,3.013442,2.1798128157788152
1607.553905056499,5.816227,3.0939186,2.1796839167633024
1607.5803876428188,1.5446638,2.8287563,2.179885413738246
1607.6068700589249,1.3543376,2.7937133,2.180782718021799
1607.6333523048197,6.4050946,2.9139318,2.182429164102306
1607.6598343805076,2.2711818,3.171884,2.184790755817593
1607.686316285991,-2.0458467,2.4876034,2.1877910925246677
1607.7127980212738,7.095769,2.9714823,2.1914134589666805
1607.739279586359,-0.4263834,2.2610044,2.1957045157980204
1607.7657609812502,4.8565435,2.5546627,2.200835009046047
1607.7922422059498,0.20660175,2.707907,2.207109727122198
1607.818723260462,-1.3881224,2.227688,2.2147728473694404
1607.84520414479,2.3362956,2.1973133,2.2239427582644513
1607.8716848589363,4.3587174,3.4623115,2.2341320029150697
1607.898165402905,3.2363327,2.46567,2.2443846603007547
1607.924645776699,4.649362,2.6193311,2.25360832520256
1607.9511259803219,2.2098134,2.726453,2.260759953877775
1607.9776060137765,5.768684,2.381713,2.2654052883770674
1608.0040858770665,-0.27109593,3.05378,2.2672508804229707
1608.030565570195,-2.9981487,1.7525227,2.266895112144864
1608.0570450931652,3.7455225,2.3577788,2.2650748968156798
1608.0835244459804,4.197566,2.4602456,2.262723084003941
1608.1100036286443,2.284498,2.4981692,2.260676045340782
1608.1364826411595,-0.15195759,2.1602993,2.2594540807679415
1608.1629614835297,0.9437605,2.1992962,2.259143489153953
1608.1894401557581,4.5689683,2.1195374,2.2595958995523375
1608.215918657848,-0.4849913,2.274215,2.260599589676332
1608.2423969898025,0.4566674,2.4370873,2.2619595036092246
1608.2688751516255,2.13013,2.6532214,2.2634633063301344
1608.2953531433193,-2.2588644,2.7672987,2.264949280172866
1608.321830964888,-0.5948774,2.1098113,2.266289180072489
1608.3483086163346,-1.4132826,2.0218854,2.267382673384679
1608.3747860976623,-0.13292684,1.8494929,2.268309740393203
1608.4012634088745,-2.2068548,1.8495785,2.2693259732291846
1608.4277405499743,-0.8649207,2.0161436,2.270748178496776
1608.454217520965,1.3145399,1.9013065,2.272819795424283
1608.4806943218498,0.2539116,1.9178858,2.2755699216987377
1608.5071709526326,0.59451115,1.86541,2.2789789889450986
1608.5336474133162,0.25891486,2.0474389,2.2829864907857544
1608.5601237039034,2.5803673,2.1159813,2.287558613895431
1608.5865998243985,2.3037508,2.0042238,2.2926362676578744
1608.613075774804,1.4342424,1.8401692,2.2979999541387013
1608.6395515551235,3.7369041,1.8673306,2.3031114900437224
1608.6660271653604,2.4194572,2.1942785,2.3072978249914797
1608.6925026055176,1.0993327,1.4589908,2.310114926601379
1608.7189778755985,1.8639573,1.6090554,2.3116947861615156
1608.7454529756067,1.889875,1.9353888,2.312249358740198
1608.771927905545,0.4593079,1.703688,2.3121767536189264
1608.7984026654171,3.7022521,1.8435767,2.3118239160725835
1608.8248772552258,0.3822524,1.7813859,2.31162427203272
1608.851351674975,-3.1985855,1.6524363,2.3118526781323308
1608.8778259246676,0.29945523,1.5739962,2.3122870719124258
1608.9043000043066,-1.5930794,2.0134513,2.312578316684066
1608.9307739138958,1.4293689,1.8035239,2.3127496325470656
1608.9572476534381,1.5783503,1.5591846,2.313224409873552
1608.9837212229372,1.2843012,1.5183635,2.3145977195060965
1609.010194622396,2.2575436,1.4904535,2.3172865839421863
1609.036667851818,2.0534298,1.4582677,2.321363613915686
1609.0631409112061,1.0471392,1.5458971,2.3264224797346422
1609.0896138005642,0.9733819,1.2122023,2.3320177919675977
1609.116086519895,0.44076598,1.3554014,2.337789999087036
1609.142559069202,-0.640803,1.1885362,2.343468704733718
1609.1690314484886,0.9069727,1.4565907,2.3487097919171784
1609.1955036577579,-1.2012242,1.1722788,2.3530372134932342
1609.2219756970135,-0.24273464,1.1776111,2.3560489002215537
1609.248447566258,2.2069187,1.2699236,2.357059064267963
1609.274919265495,-2.780216,1.0866364,2.355546508263979
1609.3013907947281,0.72963816,1.0729827,2.351310999366122
1609.3278621539603,0.36532143,1.1790216,2.344876843376774
1609.3543333431949,0.40323985,1.0871338,2.3369593785796585
1609.3808043624351,1.1779503,1.3178548,2.328323128111105
1609.4072752116845,1.0004913,1.1773608,2.319704268836258
1609.433745890946,1.914519,1.4333462,2.311801004205627
1609.460216400223,0.23592766,1.1061997,2.3050514000321662
1609.4866867395187,0.82497144,1.531404,2.2995451516541134
1609.5131569088364,0.27229822,1.2180697,2.294999760699996
1609.5396269081798,0.9557733,1.2113278,2.2912957928123134
1609.5660967375513,1.6055644,1.3404208,2.28823572137601
1609.5925663969551,1.6209816,1.3315322,2.285645489058858
1609.6190358863937,1.77654,1.2784442,2.283134636861483
1609.6455052058711,1.7678957,1.2817242,2.2801628053366354
1609.67197435539,1.7190481,1.2479233,2.2763239731880045
1609.6984433349537,0.34195694,1.2117413,2.2715696477388967
1609.724912144566,4.319423,1.2540491,2.2662017285205245
1609.75138078423,2.35094,1.2166313,2.260698380738736
1609.7778492539483,2.4594972,1.248473,2.2557683637544343
1609.8043175537248,1.7979789,1.0368042,2.2522904327256725
1609.8307856835625,1.0324271,1.0085051,2.250910924642602
1609.8572536434651,2.7425358,1.1413393,2.251198693670853
1609.8837214334353,-0.04665907,1.0340596,2.2523347302392978
1609.910189053477,0.492181,1.1026225,2.2535346085115187
1609.936656503593,2.1924567,1.0047526,2.254309349506503
1609.9631237837866,0.34678823,0.9370987,2.254444490061898
1609.9895908940614,2.063657,1.1849428,2.253879387700163
1610.0160578344203,2.366167,1.0870453,2.252764611946395
1610.0425246048667,2.5493407,1.0565817,2.2512162963691367
1610.068991205404,3.5444114,1.1692883,2.2494051369714043
1610.0954576360352,2.5343888,1.2151603,2.247458747901687
1610.1219238967637,-0.20948565,0.8146111,2.245277051978313
1610.1483899875932,-0.117803216,0.9743114,2.2426150707457584
1610.1748559085263,0.93357265,1.0480368,2.2393086041443517
1610.2013216595667,1.4894485,1.0576051,2.235438306444335
1610.2277872407174,-1.3642226,1.2203922,2.23099919784217
1610.2542526519817,0.4727742,1.0373266,2.2257269897895533
1610.2807178933633,0.6339361,1.0082873,2.2192046040884055
1610.307182964865,1.2980919,1.0968925,2.2115548001573107
1610.33364786649,1.3418967,1.0223701,2.2030334474878916
1610.360112598242,2.2904155,1.030448,2.1941679465236703
1610.386577160124,1.8712486,0.9213602,2.1856649451435075
1610.4130415521392,-0.102559716,0.864331,2.1783442303547798
1610.4395057742913,3.4442737,1.297191,2.172767276669436
1610.4659698265832,2.834286,1.2431902,2.1690183010071085
