specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/SK 80/E140M_1425_0.2x0.2_1200.000_9434/o6lz03010/o6lz03010_continuumfit.fits|1250.578|1e-05|15.44|0.033|10.823|0.447|7.822|0.306|2|2|2|-21.7246|21.7246|1250.5015953550392|1250.6828427886808|11562|11576|4e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/SK 80/E140M_1425_0.2x0.2_1200.000_9434/o6lz03010/o6lz03010_continuumfit.fits|1253.805|1e-05|15.44|0.0|10.823|0.0|7.822|0.0|2|2|2|-21.7246|21.7246|1253.7283981999724|1253.9101133257277|11803|11817|4e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/SK 80/E140M_1425_0.2x0.2_1200.000_9434/o6lz03010/o6lz03010_continuumfit.fits|1250.578|0.0005|15.529|0.012|27.112|0.668|-4.286|0.495|2|2|2|-33.4225|33.4225|1251.0592781154974|1251.3381206419826|11604|11625|0.00048|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/SK 80/E140M_1425_0.2x0.2_1200.000_9434/o6lz03010/o6lz03010_continuumfit.fits|1253.805|0.0005|15.529|0.0|27.112|0.0|-4.286|0.0|2|2|2|-33.4225|33.4225|1254.287520008829|1254.5670820624712|11845|11866|0.00048|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/SK 80/E140M_1425_0.2x0.2_1200.000_9434/o6lz03010/o6lz03010_continuumfit.fits|1317.217|0.00049|13.365|0.054|10.707|2.04|9.588|1.316|2|2|2|-28.4091|28.4091|1317.7386145633902|1317.9882602664497|17719|17737|0.00052|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/SK 80/E140M_1425_0.2x0.2_1200.000_9434/o6lz03010/o6lz03010_continuumfit.fits|1370.132|0.00049|13.365|0.0|10.707|0.0|9.588|0.0|2|2|2|-28.4091|28.4091|1370.674568768067|1370.934243192573|22094|22112|0.00052|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/SK 80/E140M_1425_0.2x0.2_1200.000_9434/o6lz03010/o6lz03010_continuumfit.fits|1454.842|0.00049|13.365|0.0|10.707|0.0|9.588|0.0|2|2|2|-28.4091|28.4091|1455.4181137114324|1455.6938428084077|28499|28517|0.00052|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/SK 80/E140M_1425_0.2x0.2_1200.000_9434/o6lz03010/o6lz03010_continuumfit.fits|1608.4511|0.00048|15.188|0.065|24.16|1.021|-5.178|0.601|2|2|2|-25.0668|25.0668|1609.0880404517245|1609.3570180124175|38465|38481|0.00046|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/SK 80/E140M_1425_0.2x0.2_1200.000_9434/o6lz03010/o6lz03010_continuumfit.fits|1611.2005|0.00048|15.188|0.0|24.16|0.0|-5.178|0.0|2|2|2|-25.0668|25.0668|1611.838529203554|1612.1079665400557|38625|38641|0.00046|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/SK 80/E140M_1425_0.2x0.2_1200.000_9434/o6lz03010/o6lz03010_continuumfit.fits|1239.9253|0.00045|15.679|0.066|11.256|2.565|-5.01|1.679|2|2|2|-28.4091|28.4091|1240.361006579474|1240.5960035642224|10567|10584|0.00043|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/SK 80/E140M_1425_0.2x0.2_1200.000_9434/o6lz03010/o6lz03010_continuumfit.fits|1240.3947|0.00045|15.679|0.0|11.256|0.0|-5.01|0.0|2|2|2|-28.4091|28.4091|1240.8305715254335|1241.065657473271|10602|10620|0.00043|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/SK 80/E140M_1425_0.2x0.2_1200.000_9434/o6lz03010/o6lz03010_continuumfit.fits|1358.773|0.00048|12.348|0.164|6.929|5.12|-13.948|2.903|2|2|2|-21.7246|21.7246|1359.3262170006774|1359.5231452363823|21155|21169|0.00043|CuII|none|--|./modified_component_groups/input_group_5.VP
