specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 34/E140M_1425_0.2x0.2_17640.000_7437/o4wr24010/o4wr24010_continuumfit.fits|1250.578|3e-05|15.532|0.097|9.917|0.963|1.666|0.591|2|2|2|-25.0668|25.0668|1250.5155413266891|1250.7246725958312|11572|11587|4e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 34/E140M_1425_0.2x0.2_17640.000_7437/o4wr24010/o4wr24010_continuumfit.fits|1253.805|3e-05|15.532|0.0|9.917|0.0|1.666|0.0|2|2|2|-25.0668|25.0668|1253.7423801579025|1253.952051070798|11813|11828|4e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 34/E140M_1425_0.2x0.2_17640.000_7437/o4wr24010/o4wr24010_continuumfit.fits|1250.578|0.00052|15.902|0.053|23.255|1.228|-7.947|0.808|2|2|2|-33.4225|33.4225|1251.0871660048974|1251.3660085313825|11614|11635|0.00049|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 34/E140M_1425_0.2x0.2_17640.000_7437/o4wr24010/o4wr24010_continuumfit.fits|1253.805|0.00052|15.902|0.0|23.255|0.0|-7.947|0.0|2|2|2|-33.4225|33.4225|1254.3154798603289|1254.595041913971|11856|11876|0.00049|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 34/E140M_1425_0.2x0.2_17640.000_7437/o4wr24010/o4wr24010_continuumfit.fits|1317.217|0.00055|13.886|0.043|15.0|1.933|-11.169|1.322|2|2|2|-28.4091|28.4091|1317.8120362389704|1318.0616819420297|17733|17750|0.00051|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 34/E140M_1425_0.2x0.2_17640.000_7437/o4wr24010/o4wr24010_continuumfit.fits|1370.132|0.00055|13.886|0.0|15.0|0.0|-11.169|0.0|2|2|2|-28.4091|28.4091|1370.7509399257472|1371.010614350253|22107|22125|0.00051|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 34/E140M_1425_0.2x0.2_17640.000_7437/o4wr24010/o4wr24010_continuumfit.fits|1454.842|0.00055|13.886|0.0|15.0|0.0|-11.169|0.0|2|2|2|-28.4091|28.4091|1455.4992066045124|1455.7749357014877|28512|28530|0.00051|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 34/E140M_1425_0.2x0.2_17640.000_7437/o4wr24010/o4wr24010_continuumfit.fits|1608.4511|0.0005|18.667|0.057|4.755|0.536|0.24|1.251|2|2|2|-28.4091|28.4091|1609.1059767519625|1609.4108186312399|38475|38492|0.0005|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 34/E140M_1425_0.2x0.2_17640.000_7437/o4wr24010/o4wr24010_continuumfit.fits|1611.2005|0.0005|18.667|0.0|4.755|0.0|0.24|0.0|2|2|2|-28.4091|28.4091|1611.8564961631412|1612.161859122769|38635|38653|0.0005|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 34/E140M_1425_0.2x0.2_17640.000_7437/o4wr24010/o4wr24010_continuumfit.fits|1239.9253|0.00047|15.975|0.086|22.74|5.575|11.261|3.858|2|2|2|-31.7513|31.7513|1240.3748337562524|1240.6374770558239|10576|10596|0.00051|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 34/E140M_1425_0.2x0.2_17640.000_7437/o4wr24010/o4wr24010_continuumfit.fits|1240.3947|0.00047|15.975|0.0|22.74|0.0|11.261|0.0|2|2|2|-31.7513|31.7513|1240.8444039367828|1241.1071466655414|10611|10631|0.00051|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 34/E140M_1425_0.2x0.2_17640.000_7437/o4wr24010/o4wr24010_continuumfit.fits|1358.773|0.00072|12.827|0.145|4.0|2.857|3.912|1.745|2|2|2|-13.369|13.369|1359.6897720458771|1359.810958791923|21189|21197|0.00073|CuII|none|--|./modified_component_groups/input_group_5.VP
