specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/SMC/SMC N81/AzV 446/G130M_1291_LP1_323.008_11625/lb2a03010/lb2a03010_continuumfit.fits|1355.5977|0.00042|17.934|0.149|14.32|9.812|-6.46|5.805|2|2|2|-30.0802|30.0802|1356.0287166985233|1356.3007492253428|24207|24234|0.0004|O I|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N81/AzV 446/G130M_1291_LP1_323.008_11625/lb2a03010/lb2a03010_continuumfit.fits|1152.818|0.00049|13.724|0.024|29.536|2.586|-5.881|1.683|3|3|3|-51.8048|51.8048|1153.1845474607978|1153.5829664625621|2849|2889|0.00047|P II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N81/AzV 446/G130M_1291_LP1_323.008_11625/lb2a03010/lb2a03010_continuumfit.fits|1317.217|0.0005|13.986|0.022|24.195|1.953|-6.84|1.279|2|2|2|-50.1337|50.1337|1317.650498719109|1318.0910499081115|20356|20400|0.00047|NiII|none|--|./modified_component_groups/input_group_6.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N81/AzV 446/G130M_1291_LP1_323.008_11625/lb2a03010/lb2a03010_continuumfit.fits|1370.132|0.0005|13.986|0.0|24.195|0.0|-6.84|0.0|2|2|2|-50.1337|50.1337|1370.5829131502328|1371.0411620808875|25668|25714|0.00047|NiII|none|--|./modified_component_groups/input_group_6.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N81/AzV 446/G130M_1291_LP1_323.008_11625/lb2a03010/lb2a03010_continuumfit.fits|1358.773|0.00058|12.942|0.068|13.998|4.433|0.853|2.65|2|2|2|-38.4358|38.4358|1359.386814793838|1359.735226008862|24544|24579|0.00058|CuII|none|--|./modified_component_groups/input_group_7.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N81/AzV 446/G130M_1291_LP1_323.008_11625/lb2a03010/lb2a03010_continuumfit.fits|1239.9253|0.00045|15.811|0.047|26.249|4.682|-1.958|3.108|2|2|2|-36.7647|36.7647|1240.3333670555246|1240.6374806545193|11597|11627|0.00045|MgII|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N81/AzV 446/G130M_1291_LP1_323.008_11625/lb2a03010/lb2a03010_continuumfit.fits|1240.3947|0.00045|15.811|0.0|26.249|0.0|-1.958|0.0|2|2|2|-36.7647|36.7647|1240.8029215379568|1241.1071502655993|11644|11674|0.00045|MgII|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N81/AzV 446/G130M_1291_LP1_323.008_11625/lb2a03010/lb2a03010_continuumfit.fits|1250.578|3e-05|15.382|0.014|19.098|0.689|-6.475|0.469|2|2|2|-45.1203|45.1203|1250.4318885687435|1250.808325353777|12610|12648|1e-05|S II|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N81/AzV 446/G130M_1291_LP1_323.008_11625/lb2a03010/lb2a03010_continuumfit.fits|1253.805|3e-05|15.382|0.0|19.098|0.0|-6.475|0.0|2|2|2|-45.1203|45.1203|1253.6585115418097|1254.0359196868908|12934|12972|1e-05|S II|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N81/AzV 446/G130M_1291_LP1_323.008_11625/lb2a03010/lb2a03010_continuumfit.fits|1142.3656|-3e-05|14.927|0.021|26.749|2.06|-5.47|1.323|2|2|2|-41.7781|41.7781|1142.1684542674293|1142.4868469621072|1743|1775|-5e-05|FeII|none|--|./modified_component_groups/input_group_0.VP
