specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/SMC/SMC N81/AzV 446/G160M_1623_LP1_620.192_11625/lb2a03040/lb2a03040_continuumfit.fits|1454.84200|0.00046846|14.0756|20.2981|0.0000|2|2|2|-35.0936|35.0936|1455.35316|1455.69393|0.00046846|NiII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N81/AzV 446/G160M_1623_LP1_620.192_11625/lb2a03040/lb2a03040_continuumfit.fits|1467.25900|0.00046846|14.0756|20.2981|0.0000|2|2|2|-35.0936|35.0936|1467.77453|1468.11820|0.00046846|NiII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N81/AzV 446/G160M_1623_LP1_620.192_11625/lb2a03040/lb2a03040_continuumfit.fits|1467.75600|0.00046846|14.0756|20.2981|0.0000|2|2|2|-35.0936|35.0936|1468.27170|1468.61549|0.00046846|NiII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N81/AzV 446/G160M_1623_LP1_620.192_11625/lb2a03040/lb2a03040_continuumfit.fits|1703.41190|0.00046846|14.0756|20.2981|0.0000|2|2|2|-35.0936|35.0936|1704.01040|1704.40939|0.00046846|NiII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N81/AzV 446/G160M_1623_LP1_620.192_11625/lb2a03040/lb2a03040_continuumfit.fits|1709.60420|0.00046846|14.0756|20.2981|0.0000|2|2|2|-35.0936|35.0936|1710.20488|1710.60531|0.00046846|NiII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N81/AzV 446/G160M_1623_LP1_620.192_11625/lb2a03040/lb2a03040_continuumfit.fits|1741.55310|0.00046846|14.0756|20.2981|0.0000|2|2|2|-35.0936|35.0936|1742.16500|1742.57292|0.00046846|NiII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N81/AzV 446/G160M_1623_LP1_620.192_11625/lb2a03040/lb2a03040_continuumfit.fits|1751.91570|0.00046846|14.0756|20.2981|0.0000|2|2|2|-35.0936|35.0936|1752.53124|1752.94159|0.00046846|NiII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N81/AzV 446/G160M_1623_LP1_620.192_11625/lb2a03040/lb2a03040_continuumfit.fits|1772.28000|0.00046846|14.0756|20.2981|0.0000|2|2|2|-35.0936|35.0936|1772.90270|1773.31782|0.00046846|NiII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N81/AzV 446/G160M_1623_LP1_620.192_11625/lb2a03040/lb2a03040_continuumfit.fits|1773.94900|0.00046846|14.0756|20.2981|0.0000|2|2|2|-35.0936|35.0936|1774.57228|1774.98779|0.00046846|NiII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N81/AzV 446/G160M_1623_LP1_620.192_11625/lb2a03040/lb2a03040_continuumfit.fits|1783.31800|0.00046846|14.0756|20.2981|0.0000|2|2|2|-35.0936|35.0936|1783.94458|1784.36228|0.00046846|NiII|none|
