specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/SMC/SMC N88A/2dFS 3694/G130M_1291_LP4_1534.400_16101/leeyac010/leeyac010_continuumfit.fits|1239.9253|0.00044|15.749|0.019|14.438|1.717|3.645|0.915|2|2|2|-36.7647|36.7647|1240.3195418884297|1240.6236554874245|11600|11631|0.00045|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N88A/2dFS 3694/G130M_1291_LP4_1534.400_16101/leeyac010/leeyac010_continuumfit.fits|1240.3947|0.00044|15.749|0.0|14.438|0.0|3.645|0.0|2|2|2|-36.7647|36.7647|1240.7890911370516|1241.0933198646942|11647|11678|0.00045|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N88A/2dFS 3694/G130M_1291_LP4_1534.400_16101/leeyac010/leeyac010_continuumfit.fits|1317.217|0.00049|13.519|0.022|10.713|1.775|-10.538|0.868|2|2|2|-28.4091|28.4091|1317.7386145633902|1317.9882602664497|20375|20400|0.00046|NiII|none|--|./modified_component_groups/input_group_6.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N88A/2dFS 3694/G130M_1291_LP4_1534.400_16101/leeyac010/leeyac010_continuumfit.fits|1370.132|0.00049|13.519|0.0|10.713|0.0|-10.538|0.0|2|2|2|-28.4091|28.4091|1370.674568768067|1370.934243192573|25685|25711|0.00046|NiII|none|--|./modified_component_groups/input_group_6.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N88A/2dFS 3694/G130M_1291_LP4_1534.400_16101/leeyac010/leeyac010_continuumfit.fits|1358.773|0.00044|12.485|0.098|20.0|9.204|-16.277|4.945|2|2|2|-26.738|26.738|1359.2504750500243|1359.4928485421153|24539|24563|0.00039|CuII|none|--|./modified_component_groups/input_group_7.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N88A/2dFS 3694/G130M_1291_LP4_1534.400_16101/leeyac010/leeyac010_continuumfit.fits|1250.578|2e-05|15.416|0.012|14.021|0.332|-0.367|0.209|2|2|2|-40.107|40.107|1250.4318917812088|1250.7665028129913|12615|12649|2e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N88A/2dFS 3694/G130M_1291_LP4_1534.400_16101/leeyac010/leeyac010_continuumfit.fits|1253.805|2e-05|15.416|0.0|14.021|0.0|-0.367|0.0|2|2|2|-40.107|40.107|1253.6585147625647|1253.9939892269356|12939|12972|2e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N88A/2dFS 3694/G130M_1291_LP4_1534.400_16101/leeyac010/leeyac010_continuumfit.fits|1250.578|0.00048|15.646|0.12|6.403|0.448|-2.483|0.225|2|2|2|-38.4358|38.4358|1251.017455574712|1251.338123854448|12674|12706|0.00047|S II|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N88A/2dFS 3694/G130M_1291_LP4_1534.400_16101/leeyac010/leeyac010_continuumfit.fits|1253.805|0.00048|15.646|0.0|6.403|0.0|-2.483|0.0|2|2|2|-38.4358|38.4358|1254.245589548874|1254.567085283226|12998|13030|0.00047|S II|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N88A/2dFS 3694/G130M_1291_LP4_1534.400_16101/leeyac010/leeyac010_continuumfit.fits|1142.3656|3e-05|14.701|0.011|22.753|0.54|-10.927|0.363|2|2|2|-60.1604|60.1604|1142.1684465534095|1142.6269315459988|1751|1797|-1e-05|FeII|none|--|./modified_component_groups/input_group_0.VP
