specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/SMC/SMC N88A/2dFS 3694/G130M_1291_LP4_1534.400_16101/leeyac010/leeyac010_continuumfit.fits|1133.66540|0.00002809|14.5169|30.3402|0.0000|2|2|2|-60.1604|60.1604|1133.46977|1133.92478|0.00002809|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N88A/2dFS 3694/G130M_1291_LP4_1534.400_16101/leeyac010/leeyac010_continuumfit.fits|1142.36560|0.00002809|14.5169|30.3402|0.0000|2|2|2|-60.1604|60.1604|1142.16847|1142.62697|0.00002809|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N88A/2dFS 3694/G130M_1291_LP4_1534.400_16101/leeyac010/leeyac010_continuumfit.fits|1143.22600|0.00002809|14.5169|30.3402|0.0000|2|2|2|-60.1604|60.1604|1143.02872|1143.48756|0.00002809|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N88A/2dFS 3694/G130M_1291_LP4_1534.400_16101/leeyac010/leeyac010_continuumfit.fits|1144.93790|0.00002809|14.5169|30.3402|0.0000|2|2|2|-60.1604|60.1604|1144.74032|1145.19985|0.00002809|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N88A/2dFS 3694/G130M_1291_LP4_1534.400_16101/leeyac010/leeyac010_continuumfit.fits|1260.53300|0.00002809|14.5169|30.3402|0.0000|2|2|2|-60.1604|60.1604|1260.31548|1260.82140|0.00002809|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N88A/2dFS 3694/G130M_1291_LP4_1534.400_16101/leeyac010/leeyac010_continuumfit.fits|1133.66540|0.00049076|14.3079|31.0856|0.0000|3|3|3|-55.1471|55.1471|1134.01313|1134.43042|0.00049076|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N88A/2dFS 3694/G130M_1291_LP4_1534.400_16101/leeyac010/leeyac010_continuumfit.fits|1142.36560|0.00049076|14.3079|31.0856|0.0000|3|3|3|-55.1471|55.1471|1142.71600|1143.13649|0.00049076|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N88A/2dFS 3694/G130M_1291_LP4_1534.400_16101/leeyac010/leeyac010_continuumfit.fits|1143.22600|0.00049076|14.3079|31.0856|0.0000|3|3|3|-55.1471|55.1471|1143.57667|1143.99747|0.00049076|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N88A/2dFS 3694/G130M_1291_LP4_1534.400_16101/leeyac010/leeyac010_continuumfit.fits|1144.93790|0.00049076|14.3079|31.0856|0.0000|3|3|3|-55.1471|55.1471|1145.28909|1145.71052|0.00049076|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N88A/2dFS 3694/G130M_1291_LP4_1534.400_16101/leeyac010/leeyac010_continuumfit.fits|1260.53300|0.00049076|14.3079|31.0856|0.0000|3|3|3|-55.1471|55.1471|1260.91965|1261.38363|0.00049076|FeII|none|
