specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.064_16808/leth1c010/leth1c010_continuumfit.fits|1055.26170|-0.00002765|14.3932|37.9887|0.0000|2|2|2|-60.1604|60.1604|1055.02079|1055.44430|-0.00002765|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.064_16808/leth1c010/leth1c010_continuumfit.fits|1062.15170|-0.00002765|14.3932|37.9887|0.0000|2|2|2|-60.1604|60.1604|1061.90921|1062.33549|-0.00002765|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.064_16808/leth1c010/leth1c010_continuumfit.fits|1063.17640|-0.00002765|14.3932|37.9887|0.0000|2|2|2|-60.1604|60.1604|1062.93368|1063.36037|-0.00002765|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.064_16808/leth1c010/leth1c010_continuumfit.fits|1063.97180|-0.00002765|14.3932|37.9887|0.0000|2|2|2|-60.1604|60.1604|1063.72890|1064.15591|-0.00002765|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.064_16808/leth1c010/leth1c010_continuumfit.fits|1081.87480|-0.00002765|14.3932|37.9887|0.0000|2|2|2|-60.1604|60.1604|1081.62781|1082.06201|-0.00002765|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.064_16808/leth1c010/leth1c010_continuumfit.fits|1096.87690|-0.00002765|14.3932|37.9887|0.0000|2|2|2|-60.1604|60.1604|1096.62649|1097.06670|-0.00002765|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.064_16808/leth1c010/leth1c010_continuumfit.fits|1106.35960|-0.00002765|14.3932|37.9887|0.0000|2|2|2|-60.1604|60.1604|1106.10702|1106.55104|-0.00002765|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.064_16808/leth1c010/leth1c010_continuumfit.fits|1112.04800|-0.00002765|14.3932|37.9887|0.0000|2|2|2|-60.1604|60.1604|1111.79412|1112.24043|-0.00002765|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.064_16808/leth1c010/leth1c010_continuumfit.fits|1121.97480|-0.00002765|14.3932|37.9887|0.0000|2|2|2|-60.1604|60.1604|1121.71866|1122.16895|-0.00002765|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.064_16808/leth1c010/leth1c010_continuumfit.fits|1125.44770|-0.00002765|14.3932|37.9887|0.0000|2|2|2|-60.1604|60.1604|1125.19076|1125.64245|-0.00002765|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.064_16808/leth1c010/leth1c010_continuumfit.fits|1133.66540|-0.00002765|14.3932|37.9887|0.0000|2|2|2|-60.1604|60.1604|1133.40659|1133.86157|-0.00002765|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.064_16808/leth1c010/leth1c010_continuumfit.fits|1142.36560|-0.00002765|14.3932|37.9887|0.0000|2|2|2|-60.1604|60.1604|1142.10480|1142.56327|-0.00002765|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.064_16808/leth1c010/leth1c010_continuumfit.fits|1143.22600|-0.00002765|14.3932|37.9887|0.0000|2|2|2|-60.1604|60.1604|1142.96501|1143.42382|-0.00002765|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.064_16808/leth1c010/leth1c010_continuumfit.fits|1144.93790|-0.00002765|14.3932|37.9887|0.0000|2|2|2|-60.1604|60.1604|1144.67651|1145.13602|-0.00002765|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.064_16808/leth1c010/leth1c010_continuumfit.fits|1055.26170|0.00041829|14.6741|37.0287|0.0000|3|3|3|-56.8182|56.8182|1055.50305|1055.90321|0.00041829|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.064_16808/leth1c010/leth1c010_continuumfit.fits|1062.15170|0.00041829|14.6741|37.0287|0.0000|3|3|3|-56.8182|56.8182|1062.39462|1062.79740|0.00041829|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.064_16808/leth1c010/leth1c010_continuumfit.fits|1063.17640|0.00041829|14.6741|37.0287|0.0000|3|3|3|-56.8182|56.8182|1063.41956|1063.82272|0.00041829|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.064_16808/leth1c010/leth1c010_continuumfit.fits|1063.97180|0.00041829|14.6741|37.0287|0.0000|3|3|3|-56.8182|56.8182|1064.21514|1064.61860|0.00041829|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.064_16808/leth1c010/leth1c010_continuumfit.fits|1081.87480|0.00041829|14.6741|37.0287|0.0000|3|3|3|-56.8182|56.8182|1082.12223|1082.53249|0.00041829|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.064_16808/leth1c010/leth1c010_continuumfit.fits|1096.87690|0.00041829|14.6741|37.0287|0.0000|3|3|3|-56.8182|56.8182|1097.12776|1097.54371|0.00041829|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.064_16808/leth1c010/leth1c010_continuumfit.fits|1106.35960|0.00041829|14.6741|37.0287|0.0000|3|3|3|-56.8182|56.8182|1106.61263|1107.03217|0.00041829|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.064_16808/leth1c010/leth1c010_continuumfit.fits|1112.04800|0.00041829|14.6741|37.0287|0.0000|3|3|3|-56.8182|56.8182|1112.30233|1112.72403|0.00041829|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.064_16808/leth1c010/leth1c010_continuumfit.fits|1121.97480|0.00041829|14.6741|37.0287|0.0000|3|3|3|-56.8182|56.8182|1122.23140|1122.65687|0.00041829|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.064_16808/leth1c010/leth1c010_continuumfit.fits|1125.44770|0.00041829|14.6741|37.0287|0.0000|3|3|3|-56.8182|56.8182|1125.70510|1126.13188|0.00041829|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.064_16808/leth1c010/leth1c010_continuumfit.fits|1133.66540|0.00041829|14.6741|37.0287|0.0000|3|3|3|-56.8182|56.8182|1133.92468|1134.35457|0.00041829|FeII|none|
