specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.096_17295/lf3r4c010/lf3r4c010_continuumfit.fits|1055.26170|-0.00001093|14.5670|34.7453|0.0000|2|2|2|-51.8048|51.8048|1055.06784|1055.43254|-0.00001093|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.096_17295/lf3r4c010/lf3r4c010_continuumfit.fits|1062.15170|-0.00001093|14.5670|34.7453|0.0000|2|2|2|-51.8048|51.8048|1061.95657|1062.32365|-0.00001093|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.096_17295/lf3r4c010/lf3r4c010_continuumfit.fits|1063.17640|-0.00001093|14.5670|34.7453|0.0000|2|2|2|-51.8048|51.8048|1062.98108|1063.34852|-0.00001093|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.096_17295/lf3r4c010/lf3r4c010_continuumfit.fits|1063.97180|-0.00001093|14.5670|34.7453|0.0000|2|2|2|-51.8048|51.8048|1063.77634|1064.14405|-0.00001093|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.096_17295/lf3r4c010/lf3r4c010_continuumfit.fits|1081.87480|-0.00001093|14.5670|34.7453|0.0000|2|2|2|-51.8048|51.8048|1081.67605|1082.04994|-0.00001093|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.096_17295/lf3r4c010/lf3r4c010_continuumfit.fits|1096.87690|-0.00001093|14.5670|34.7453|0.0000|2|2|2|-51.8048|51.8048|1096.67539|1097.05447|-0.00001093|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.096_17295/lf3r4c010/lf3r4c010_continuumfit.fits|1106.35960|-0.00001093|14.5670|34.7453|0.0000|2|2|2|-51.8048|51.8048|1106.15635|1106.53871|-0.00001093|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.096_17295/lf3r4c010/lf3r4c010_continuumfit.fits|1112.04800|-0.00001093|14.5670|34.7453|0.0000|2|2|2|-51.8048|51.8048|1111.84370|1112.22803|-0.00001093|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.096_17295/lf3r4c010/lf3r4c010_continuumfit.fits|1121.97480|-0.00001093|14.5670|34.7453|0.0000|2|2|2|-51.8048|51.8048|1121.76868|1122.15644|-0.00001093|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N90/SK 183/G130M_1096_LP2_1736.096_17295/lf3r4c010/lf3r4c010_continuumfit.fits|1125.44770|-0.00001093|14.5670|34.7453|0.0000|2|2|2|-51.8048|51.8048|1125.24094|1125.62990|-0.00001093|FeII|none|
