Table 1 
Parameters for the LMC SNRs


SNR	Name	Position		D	N_H	D2G	n_0	m_g(M_sun)		m_d(M_sun)		
R.A.	Decl.	(")	(10^21cm^-2)	(10^-3)	(cm^-3)	Si	C	Si	C	
J0448.4-6660	 ... 	04^h48^m22^s	-66^d59^m52^s	220	1.59	2.07	1.28	1889	1411	2.9	0.7	
J0449.3-6920	 ... 	04^h49^m20^s	-69^d20^m20^s	133	2.98	5.85	2.41	1764	1316	7.7	2.0	
J0449.7-6922	B0449-693	04^h49^m40^s	-69^d21^m49^s	120	3.30	5.92	2.67	1744	1301	7.7	2.0	
J0450.2-6922	B0450-6927	04^h50^m15^s	-69^d22^m12^s	210	2.77	5.78	2.24	1778	1326	7.6	2.0	
J0450.4-7050	B0450-709	04^h50^m27^s	-70^d50^m15^s	357	1.33	2.87	1.08	1925	1439	4.1	1.1	
J0453.2-6655	N4	04^h53^m14^s	-66^d55^m13^s	252	2.07	5.03	1.68	1835	1370	6.9	1.8	
J0453.6-6829	B0453-685	04^h53^m38^s	-68^d29^m27^s	120	1.72	2.87	1.39	1873	1399	4.0	1.0	
J0453.9-7000	B0454-7005	04^h53^m52^s	-70^d00^m13^s	420	0.75	3.03	0.60	2047	1531	4.6	1.2	
J0454.6-6713	N9	04^h54^m33^s	-67^d13^m13^s	177	1.44	4.03	1.17	1909	1426	5.7	1.5	
J0454.8-6626	N11L	04^h54^m49^s	-66^d25^m32^s	87	3.24	4.17	2.63	1748	1303	5.4	1.4	
J0455.6-6839	N86	04^h55^m37^s	-68^d38^m47^s	348	1.73	3.82	1.40	1872	1398	5.3	1.4	
J0459.9-7008	N186D	04^h59^m55^s	-70^d07^m52^s	150	0.99	4.98	0.80	1987	1486	7.3	1.9	
J0505.7-6753	DEM L71	05^h05^m42^s	-67^d52^m39^s	72	1.27	2.75	1.03	1934	1445	4.0	1.0	
J0505.9-6802	N23	05^h05^m55^s	-68^d01^m47^s	111	1.86	4.44	1.51	1857	1387	6.1	1.6	
J0506.1-6541	 ... 	05^h06^m05^s	-65^d41^m08^s	408	1.49	2.48	1.21	1902	1421	3.5	0.9	
J0506.8-7026	B0507-7029	05^h06^m50^s	-70^d25^m53^s	330	0.75	3.76	0.61	2046	1530	5.7	1.5	
J0508.8-6831	 ... 	05^h08^m49^s	-68^d30^m41^s	108	2.55	5.00	2.06	1795	1339	6.7	1.7	
J0509.0-6844	N103Bk	05^h08^m59^s	-68^d43^m35^s	28	3.17	7.81	2.57	1752	1307	10.2	2.6	
J0509.5-6731	B0509-67.5	05^h09^m31^s	-67^d31^m17^s	29	1.11	1.56	0.90	1963	1467	2.3	0.6	
J0511.2-6759	 ... 	05^h11^m11^s	-67^d59^m07^s	108	1.94	2.32	1.57	1849	1381	3.2	0.8	
J0513.2-6912	DEM L109	05^h13^m14^s	-69^d12^m20^s	215	2.23	4.61	1.81	1821	1359	6.2	1.6	
J0514.3-6840	 ... 	05^h14^m15^s	-68^d40^m14^s	218	2.04	2.32	1.65	1838	1372	3.2	0.8	
J0517.2-6759	 ... 	05^h17^m10^s	-67^d59^m03^s	270	2.09	3.91	1.69	1834	1369	5.3	1.4	
J0518.7-6939	N120	05^h18^m41^s	-69^d39^m12^s	134	2.08	6.41	1.68	1834	1370	8.7	2.3	
J0519.6-6902	B0519-690	05^h19^m35^s	-69^d02^m09^s	31	1.20	2.62	0.97	1946	1454	3.8	1.0	
J0519.7-6926	B0520-694	05^h19^m44^s	-69^d26^m08^s	174	1.84	3.11	1.49	1858	1388	4.3	1.1	
J0521.6-6543	 ... 	05^h21^m39^s	-65^d43^m07^s	90	0.66	7.09	0.53	2075	1552	10.9	2.8	
J0523.1-6753	N44	05^h23^m07^s	-67^d53^m12^s	228	3.20	6.21	2.60	1750	1305	8.1	2.1	
J0524.3-6624	DEM L175a	05^h24^m20^s	-66^d24^m23^s	234	3.05	4.24	2.47	1760	1313	5.5	1.4	
J0525.1-6938	N132D	05^h25^m04^s	-69^d38^m24^s	114	1.74	8.26	1.41	1870	1397	11.5	3.0	
J0525.4-6559	N49B	05^h25^m25^s	-65^d59^m19^s	168	2.50	4.20	2.02	1798	1342	5.6	1.4	
J0526.0-6605	N49	05^h26^m00^s	-66^d04^m57^s	84	4.10	6.25	3.32	1703	1269	7.9	2.0	
J0527.6-6912	B0528-692	05^h27^m39^s	-69^d12^m04^s	147	0.83	3.57	0.67	2024	1514	5.4	1.4	
J0527.9-6550	DEM L204	05^h27^m54^s	-65^d49^m38^s	303	1.42	3.08	1.15	1911	1428	4.4	1.1	
J0527.9-6714	B0528-6716	05^h27^m56^s	-67^d13^m40^s	196	0.98	3.40	0.80	1988	1486	5.0	1.3	
J0528.1-7038	B0528-7038	05^h28^m03^s	-70^d37^m40^s	60	0.77	3.85	0.62	2041	1527	5.8	1.5	
J0528.3-6714	HP99498	05^h28^m20^s	-67^d13^m40^s	97	0.92	3.11	0.74	2002	1497	4.6	1.2	
J0529.1-6833	DEM L203	05^h29^m05^s	-68^d32^m30^s	667	1.90	5.71	1.54	1852	1383	7.9	2.0	
J0529.9-6701	DEM L214	05^h29^m51^s	-67^d01^m05^s	100	0.69	2.85	0.56	2064	1544	4.4	1.1	
J0530.7-7008	DEM L218	05^h30^m40^s	-70^d07^m30^s	213	1.23	1.85	1.00	1940	1450	2.7	0.7	
J0531.9-7100	N206	05^h31^m56^s	-71^d00^m19^s	192	1.94	4.95	1.57	1848	1380	6.8	1.8	
J0532.5-6732	B0532-675	05^h32^m30^s	-67^d31^m33^s	252	1.61	5.52	1.30	1886	1409	7.7	2.0	
J0534.0-6955	B0534-699	05^h34^m02^s	-69^d55^m03^s	114	2.30	2.69	1.86	1815	1355	3.6	0.9	
J0534.3-7033	DEM L238	05^h34^m18^s	-70^d33^m26^s	180	1.57	1.31	1.27	1891	1413	1.8	0.5	
J0535.5-6916	SNR1987A	05^h35^m28^s	-69^d16^m11^s	2	1.86	4.15	1.51	1856	1386	5.7	1.5	
J0535.7-6602	N63A	05^h35^m44^s	-66^d02^m14^s	66	1.24	9.62	1.00	1939	1449	13.9	3.6	
J0535.8-6918	Honeycomb	05^h35^m46^s	-69^d18^m02^s	102	2.28	5.03	1.84	1817	1356	6.8	1.8	
J0536.1-6735	DEM L241	05^h36^m03^s	-67^d34^m36^s	135	3.21	6.62	2.60	1750	1305	8.6	2.2	
J0536.1-7039	DEM L249	05^h36^m07^s	-70^d38^m37^s	180	2.54	2.29	2.06	1795	1340	3.1	0.8	
J0536.2-6912	B0536-6914	05^h36^m09^s	-69^d11^m53^s	480	3.28	5.68	2.66	1745	1301	7.4	1.9	
J0537.4-6628	DEM L256	05^h37^m27^s	-66^d27^m50^s	204	1.92	6.94	1.55	1850	1382	9.5	2.5	
J0537.6-6920	B0538-6922	05^h37^m37^s	-69^d20^m23^s	169	3.43	4.69	2.78	1737	1295	6.1	1.6	
J0537.8-6910	N157B	05^h37^m46^s	-69^d10^m28^s	102	5.35	9.17	4.33	1654	1232	11.3	2.9	
J0538.2-6922	0538-693	05^h38^m14^s	-69^d21^m36^s	169	3.67	5.00	2.97	1724	1285	6.4	1.7	
J0540.0-6944	N159	05^h39^m59^s	-69^d44^m02^s	78	6.33	10.4	5.12	1622	1207	12.5	3.2	
J0540.2-6920	B0540-693	05^h40^m11^s	-69^d19^m55^s	60	4.72	4.78	3.82	1676	1249	6.0	1.5	
J0543.1-6858	DEM L299	05^h43^m08^s	-68^d58^m18^s	318	4.73	3.39	3.83	1676	1249	4.2	1.1	
