Table 2 
Parameters for the SMC SNRs


SNR	Name	Position		D	N_H	D2G	n_0	m_g(M_sun)		m_d(M_sun)		
R.A.	Decl.	(")	(10^21cm^-2)	(10^-3)	(cm^-3)	Si	C	Si	C	
J0040.9-7337	DEM S5	00^h40^m55^s	-73^d36^m55^s	121	3.17	0.50	0.51	2082	1558	0.8	0.2	
J0046.6-7309	DEM S32	00^h46^m39^s	-73^d08^m39^s	136	10.30	1.61	1.67	1836	1371	2.4	0.4	
J0047.2-7308	IKT2	00^h47^m12^s	-73^d08^m26^s	66	10.89	1.76	1.76	1825	1363	2.6	0.5	
J0047.5-7306	B0045-733	00^h47^m29^s	-73^d06^m01^s	180	10.58	1.80	1.71	1831	1367	2.7	0.5	
J0047.7-7310	HFPK419	00^h47^m41^s	-73^d09^m30^s	90	10.66	1.96	1.73	1829	1366	2.9	0.5	
J0047.8-7317	NS21	00^h47^m48^s	-73^d17^m27^s	76	9.66	2.42	1.56	1849	1381	3.6	0.7	
J0048.1-7309	NS19	00^h48^m06^s	-73^d08^m43^s	79	11.65	2.25	1.89	1812	1352	3.3	0.6	
J0048.4-7319	IKT4	00^h48^m25^s	-73^d19^m24^s	84	8.98	1.87	1.46	1864	1392	2.8	0.5	
J0049.1-7314	IKT5	00^h49^m07^s	-73^d14^m05^s	116	9.11	1.64	1.48	1861	1390	2.5	0.5	
J0051.1-7321	IKT6	00^h51^m07^s	-73^d21^m26^s	144	6.98	1.29	1.13	1915	1431	2.0	0.4	
J0051.9-7310	IKT7	00^h51^m54^s	-73^d10^m24^s	97	7.23	1.43	1.17	1908	1425	2.2	0.4	
J0052.6-7238	B0050-728	00^h52^m33^s	-72^d37^m35^s	323	4.89	0.96	0.79	1989	1487	1.5	0.3	
J0058.3-7218	IKT16	00^h58^m16^s	-72^d18^m05^s	200	5.69	1.41	0.92	1957	1463	2.2	0.4	
J0059.4-7210	IKT18	00^h59^m25^s	-72^d10^m10^s	158	3.92	2.26	0.64	2036	1523	3.7	0.7	
J0100.3-7134	DEM S108	01^h00^m21^s	-71^d33^m40^s	149	3.06	1.55	0.50	2090	1563	2.6	0.5	
J0103.2-7209	IKT21	01^h03^m13^s	-72^d08^m59^s	62	5.48	1.48	0.89	1965	1469	2.3	0.4	
J0103.5-7247	HFPK334	01^h03^m30^s	-72^d47^m20^s	86	4.35	0.74	0.70	2014	1506	1.2	0.2	
J0104.0-7202	B0102-7219	01^h04^m02^s	-72^d01^m48^s	44	5.24	2.11	0.85	1975	1476	3.3	0.6	
J0105.1-7223	IKT23	01^h05^m04^s	-72^d22^m56^s	170	4.13	0.91	0.67	2025	1515	1.5	0.3	
J0105.4-7209d	DEM S128	01^h05^m23^s	-72^d09^m26^s	124	4.66	1.35	0.75	1999	1495	2.2	0.4	
J0105.6-7204	DEM S130	01^h05^m39^s	-72^d03^m41^s	79	5.61	1.76	0.91	1960	1465	2.8	0.5	
J0106.2-7205	IKT25	01^h06^m14^s	-72^d05^m18^s	110	5.58	1.43	0.90	1961	1466	2.3	0.4	
J0114.0-7317	N83C	01^h14^m00^s	-73^d17^m08^s	17	5.50	5.41	0.89	1965	1468	8.5	1.6	
Notes. Listed values for the density (n_0), effective swept-up gas mass (m_g), and destroyed dust mass (m_d) assume a gas disk thickness of 2.0 kpc. Of the total D2G mass ratio, 80% is attributed to silicates, and 20% to carbon dust.
