ID,Region,Target,RA,DEC,Angular Separation,Instrument/Grating/Cenwave,T_exp,SNR,PID
C1,SMC N88A,2dFS 3694,01 24 34.445,-73 09 08.88,1.9,COS/G130M/1291,1534.400,56.535268716946476,16101
C1,SMC N88A,2dFS 3694,01 24 34.445,-73 09 08.88,1.9,COS/G160M/1611,2336.032,27.326027350917045,16101
D1,SMC N90,SK 183,01 29 24.548,-73 33 16.35,1.01,STIS/E140M/1425,2707.000,17.78372342037122,15837
D1,SMC N90,SK 183,01 29 24.548,-73 33 16.35,1.01,COS/G130M/1096,1736.064,18.298522512502938,16808
D1,SMC N90,SK 183,01 29 24.548,-73 33 16.35,1.01,COS/G130M/1096,1736.096,17.544820758296975,17295
A1,SMC N66A,Cl* NGC 346 ELS 22,00 59 18.618,-72 11 09.89,0.35,COS/G130M/1291,360.000,27.03297773821972,11625
A1,SMC N66A,Cl* NGC 346 ELS 22,00 59 18.618,-72 11 09.89,0.35,COS/G130M/1327,360.032,28.33878123101489,11625
A1,SMC N66A,Cl* NGC 346 ELS 22,00 59 18.618,-72 11 09.89,0.35,COS/G160M/1577,560.032,15.813357163054587,11625
A1,SMC N66A,Cl* NGC 346 ELS 22,00 59 18.618,-72 11 09.89,0.35,COS/G160M/1623,560.032,14.968419354226778,11625
A2,SMC N66A,Cl* NGC 346 ELS 50,00 58 55.221,-72 09 06.69,2.42,COS/G130M/1096,9965.762,20.820481813317983,16103
A2,SMC N66A,Cl* NGC 346 ELS 50,00 58 55.221,-72 09 06.69,2.42,COS/G130M/1291,335.008,22.13951114118966,11625
A2,SMC N66A,Cl* NGC 346 ELS 50,00 58 55.221,-72 09 06.69,2.42,COS/G130M/1327,334.016,22.95295878773964,11625
A2,SMC N66A,Cl* NGC 346 ELS 50,00 58 55.221,-72 09 06.69,2.42,COS/G160M/1623,600.192,13.085328594369049,11625
A3,SMC N66A,Cl* NGC 346 ELS 51,00 59 08.697,-72 10 14.14,0.92,COS/G130M/1096,9959.808,19.21515120669958,16103
A3,SMC N66A,Cl* NGC 346 ELS 51,00 59 08.697,-72 10 14.14,0.92,COS/G130M/1291,360.032,21.985468679250666,11625
A3,SMC N66A,Cl* NGC 346 ELS 51,00 59 08.697,-72 10 14.14,0.92,COS/G130M/1327,360.032,22.66834498277992,11625
A3,SMC N66A,Cl* NGC 346 ELS 51,00 59 08.697,-72 10 14.14,0.92,COS/G160M/1577,648.224,13.661836465544237,11625
A3,SMC N66A,Cl* NGC 346 ELS 51,00 59 08.697,-72 10 14.14,0.92,COS/G160M/1623,648.224,12.844092058997061,11625
A4,SMC N66A,Cl* NGC 346 ELS 7,00 58 57.396,-72 10 33.66,1.38,STIS/E140M/1425,5400.000,16.684995778177978,7437
A5,SMC N66A,Cl* NGC 346 MPG 782,00 59 30.385,-72 09 09.63,2.25,COS/G130M/1096,10611.616,27.86794718990078,16371
A5,SMC N66A,Cl* NGC 346 MPG 782,00 59 30.385,-72 09 09.63,2.25,COS/G130M/1291,959.456,36.76133292900649,16371
A6,SMC N66A,Cl* NGC 346 NMC 17,00 59 06.750,-72 10 41.26,0.68,STIS/E140M/1425,9360.000,12.145611636773086,7437
A7,SMC N66A,Cl* NGC 346 NMC 28,00 59 01.819,-72 10 31.22,1.09,STIS/E140M/1425,6000.00,15.64368418615657,7437
A7,SMC N66A,Cl* NGC 346 NMC 28,00 59 01.819,-72 10 31.22,1.09,COS/G130M/1096,4394.784,22.24630644880427,16013
A8,SMC N66A,Cl* NGC 346 SSN 25,00 59 12.322,-72 11 07.91,0.17,STIS/E140M/1425,2707.000,8.783622024157221,15837
A9,SMC N66A,Cl* NGC 346 SSN 7,00 59 04.496,-72 10 24.74,0.98,STIS/E140M/1425,2210.200,21.433405001961656,16805
A10,SMC N66A,Cl* NGC 346 W 3,00 59 00.759,-72 10 28.17,1.19,STIS/E140M/1425,2215.200,17.792939960749088,16098
A10,SMC N66A,Cl* NGC 346 W 3,00 59 00.759,-72 10 28.17,1.19,STIS/E140M/1425,2567.200,18.98773723777273,16098
A10,SMC N66A,Cl* NGC 346 W 3,00 59 00.759,-72 10 28.17,1.19,STIS/E140M/1425,2700.000,21.190235677948795,7437
A11,SMC N66A,Cl* NGC 346 W 4,00 59 00.053,-72 10 37.96,1.17,STIS/E140M/1425,2707.000,15.250692447629763,15837
A12,SMC N66A,HD 5980,00 59 26.584,-72 09 53.93,1.48,STIS/E140M/1425,2028.000,35.57592514586241,14476
A12,SMC N66A,HD 5980,00 59 26.584,-72 09 53.93,1.48,STIS/E140M/1425,2070.000,33.61916516491372,13373
A12,SMC N66A,HD 5980,00 59 26.584,-72 09 53.93,1.48,STIS/E140M/1425,2548.000,41.03489795866341,11623
A12,SMC N66A,HD 5980,00 59 26.584,-72 09 53.93,1.48,STIS/E140M/1425,2608.000,39.298633307636905,13373
A12,SMC N66A,HD 5980,00 59 26.584,-72 09 53.93,1.48,STIS/E140M/1425,2627.000,41.38969219025675,11623
A12,SMC N66A,HD 5980,00 59 26.584,-72 09 53.93,1.48,STIS/E140M/1425,2776.000,46.628359307816005,9094
A12,SMC N66A,HD 5980,00 59 26.584,-72 09 53.93,1.48,STIS/E140M/1425,2837.000,42.512587451013914,14476
A12,SMC N66A,HD 5980,00 59 26.584,-72 09 53.93,1.48,STIS/E140M/1425,3236.000,61.81878189801869,7480
A12,SMC N66A,HD 5980,00 59 26.584,-72 09 53.93,1.48,STIS/E230M/1978,1609.000,37.01731271635944,9094
A12,SMC N66A,HD 5980,00 59 26.584,-72 09 53.93,1.48,STIS/E230M/2707,1300.000,46.914611154795054,9094
A13,SMC N66A,SK 80,00 59 31.975,-72 10 46.11,1.38,STIS/E140M/1425,1200.000,17.96584471635056,9434
B1,SMC N81,AzV 446,01 09 25.427,-73 09 29.91,2.31,COS/G130M/1291,323.008,31.89182548030196,11625
B1,SMC N81,AzV 446,01 09 25.427,-73 09 29.91,2.31,COS/G130M/1327,323.040,33.20771758939861,11625
B1,SMC N81,AzV 446,01 09 25.427,-73 09 29.91,2.31,COS/G160M/1577,630.208,20.866217822911345,11625
B1,SMC N81,AzV 446,01 09 25.427,-73 09 29.91,2.31,COS/G160M/1623,620.192,20.468889482403096,11625
F1,LMC N11B,BI 42,04 57 00.885,-66 24 25.21,1.42,STIS/E140M/1425,2240.000,10.843903713796877,14675
F1,LMC N11B,BI 42,04 57 00.885,-66 24 25.21,1.42,STIS/E140M/1425,2750.000,11.397921265157098,14675
F1,LMC N11B,BI 42,04 57 00.885,-66 24 25.21,1.42,STIS/E140M/1425,2778.000,11.61322162194594,14675
